Timing study of parallel code with the following parameters:,,,,,,,,,
n_particles=2000,iter_max=100,pert_rate=0.3,stop_cond=0,,,,,,
N Threads,1,2,4,6,8,10,12,14,16
Run 0,0.63,0.4,0.28,0.23,0.21,0.26,0.22,0.21,0.21
Run 1,0.61,0.4,0.27,0.22,0.2,0.25,0.23,0.22,0.22
Run 2,0.65,0.42,0.29,0.25,0.26,0.26,0.24,0.23,0.29
Run 3,0.64,0.42,0.29,0.28,0.24,0.26,0.24,0.24,0.28
Run 4,0.62,0.41,0.28,0.24,0.28,0.26,0.23,0.22,0.3
Run 5,0.64,0.41,0.28,0.24,0.25,0.26,0.24,0.23,0.31
Run 6,0.65,0.41,0.3,0.26,0.28,0.26,0.24,0.23,0.32
Run 7,0.68,0.41,0.32,0.25,0.3,0.25,0.25,0.24,0.38
Run 8,0.65,0.42,0.29,0.25,0.29,0.27,0.25,0.23,0.33
Run 9,0.66,0.41,0.29,0.24,0.3,0.27,0.25,0.24,0.35
Run 10,0.65,0.42,0.3,0.25,0.28,0.27,0.25,0.23,0.44
Run 11,0.66,0.42,0.28,0.25,0.26,0.26,0.24,0.25,0.41
Run 12,0.6,0.39,0.27,0.23,0.21,0.26,0.23,0.21,0.21
Run 13,0.66,0.41,0.29,0.25,0.3,0.27,0.24,0.24,0.48
Run 14,0.69,0.43,0.32,0.24,0.2,0.25,0.23,0.22,0.22
Run 15,0.63,0.4,0.28,0.24,0.2,0.25,0.23,0.22,0.21
Run 16,0.61,0.4,0.28,0.24,0.21,0.26,0.23,0.22,0.21
Run 17,0.62,0.4,0.28,0.27,0.21,0.26,0.23,0.22,0.21
Run 18,0.61,0.4,0.27,0.24,0.21,0.27,0.23,0.22,0.21
Run 19,0.62,0.4,0.3,0.26,0.22,0.26,0.24,0.23,0.25
Run 20,0.63,0.4,0.28,0.23,0.24,0.27,0.23,0.22,0.21
Run 21,0.63,0.41,0.28,0.24,0.24,0.26,0.23,0.22,0.21
Run 22,0.63,0.4,0.27,0.24,0.22,0.26,0.23,0.22,0.22
Run 23,0.61,0.39,0.28,0.23,0.22,0.25,0.23,0.24,0.26
Run 24,0.61,0.4,0.28,0.24,0.23,0.27,0.23,0.22,0.21
Run 25,0.62,0.42,0.28,0.24,0.22,0.26,0.23,0.22,0.22
Run 26,0.62,0.4,0.27,0.27,0.21,0.26,0.23,0.22,0.21
Run 27,0.63,0.4,0.28,0.24,0.21,0.27,0.23,0.22,0.22
Run 28,0.61,0.4,0.28,0.24,0.21,0.26,0.24,0.22,0.21
Run 29,0.62,0.4,0.28,0.24,0.22,0.27,0.24,0.22,0.22
Run 30,0.63,0.4,0.28,0.24,0.21,0.27,0.23,0.22,0.21
Run 31,0.63,0.42,0.28,0.24,0.22,0.26,0.23,0.22,0.22
Run 32,0.62,0.41,0.28,0.24,0.22,0.26,0.23,0.22,0.21
Run 33,0.62,0.4,0.27,0.24,0.22,0.26,0.23,0.22,0.21
Run 34,0.63,0.39,0.27,0.23,0.21,0.25,0.23,0.22,0.21
Run 35,0.62,0.43,0.27,0.24,0.21,0.26,0.23,0.22,0.21
Run 36,0.63,0.41,0.28,0.24,0.22,0.26,0.23,0.22,0.21
Run 37,0.63,0.4,0.28,0.24,0.21,0.26,0.23,0.22,0.21
Run 38,0.62,0.4,0.28,0.24,0.22,0.26,0.23,0.22,0.21
Run 39,0.62,0.4,0.28,0.24,0.22,0.27,0.24,0.23,0.29
Run 40,0.67,0.45,0.28,0.23,0.23,0.27,0.25,0.23,0.25
Run 41,0.63,0.43,0.3,0.24,0.28,0.28,0.25,0.23,0.32
Run 42,0.66,0.42,0.29,0.24,0.21,0.26,0.24,0.22,0.21
Run 43,0.62,0.4,0.28,0.24,0.3,0.26,0.23,0.22,0.22
Run 44,0.63,0.4,0.28,0.23,0.2,0.26,0.23,0.22,0.21
Run 45,0.59,0.38,0.26,0.22,0.21,0.25,0.23,0.23,0.23
Run 46,0.61,0.41,0.28,0.24,0.22,0.26,0.23,0.21,0.21
Run 47,0.62,0.4,0.28,0.24,0.21,0.27,0.23,0.22,0.21
Run 48,0.63,0.4,0.28,0.24,0.21,0.26,0.23,0.22,0.22
Run 49,0.62,0.42,0.27,0.23,0.21,0.27,0.23,0.22,0.21
Run 50,0.62,0.39,0.28,0.24,0.21,0.26,0.23,0.21,0.22
Run 51,0.62,0.4,0.28,0.25,0.26,0.26,0.24,0.22,0.33
Run 52,0.69,0.4,0.27,0.24,0.21,0.25,0.23,0.22,0.22
Run 53,0.62,0.4,0.28,0.23,0.22,0.27,0.24,0.22,0.25
Run 54,0.64,0.43,0.29,0.25,0.22,0.27,0.26,0.22,0.24
Run 55,0.65,0.44,0.29,0.24,0.22,0.26,0.25,0.22,0.21
Run 56,0.62,0.38,0.26,0.22,0.29,0.25,0.24,0.23,0.22
Run 57,0.63,0.4,0.28,0.24,0.21,0.25,0.23,0.22,0.21
Run 58,0.61,0.4,0.27,0.24,0.21,0.27,0.23,0.21,0.25
Run 59,0.63,0.4,0.28,0.26,0.21,0.26,0.23,0.22,0.21
Run 60,0.62,0.4,0.28,0.24,0.21,0.26,0.23,0.22,0.21
Run 61,0.61,0.4,0.28,0.24,0.29,0.26,0.23,0.22,0.21
